Vamos tentar alguma coisa!	ALGUM COISA TENTAR
Enquanto houver vida, haverá esperança.	ENQUANTO HAVER ESPERANÇA VIDA HAVER
Mulheres de verdade têm curvas.	MULHER MULHER VERDADE CURVAS TER
Jimmy tentou persuadir seus pais a deixá-lo cruzar o país com amigos.	JIMMY PAIS SEU DEIXAR PAÍS AMIGOS PERSUADIR CRUZAR TENTAR
"Confie em mim", disse ele.	ELE CONFIAR EU ELE DIZER
"Queres deixar recado?" "Não, obrigado".	TU QUERER RECADO DEIXAR CONTROLAR
Por favor me escreva logo de volta.	LOGO VOLTA ELE ESCREVER
Pense que estamos todos no mesmo barco!	ELE PENSAR TODO MESMO BARCO
Não há solução.	SOLUÇÃO HAVER (NÃO)
Ele estará de volta em uma hora.	ELE VOLTA HORA
Ele disse que estava cansado e que portanto iria para casa mais cedo.	ELE DIZER CANSAR SÓ QUE PORTANTO CEDO CASA MAIS EU IR
Não há dúvidas.	DÚVIDAS HAVER (NÃO)
Eu lhe dou minha palavra.	EU MEU LHE PALAVRA DAR
Ele fala realmente bem.	REAL ELE BEM FALAR
Desculpe-me, mas eu estou sem relógio.	EU DESCULPAR MAS EU RELÓGIO
Teu cão morde?	{CÃO TEU ELE MORDER}(q)
Nós não gostamos de chuva.	NÓS CHUVA GOSTAR (NÃO)
"Sim, suco de laranja, por favor", diz Mike.	SIM SUCO MIKE LARANJA FAVOR DIZER
Ela nada em dinheiro.	ELE NADA DINHEIRO
Quando se pede por dinheiro, deve-se aceitar certas condições.	QUANDO CERTO MULHER CONDIÇÃO DINHEIRO ACEITAR ELE DEVER
A bomba atômica é uma séria ameaça para a humanidade.	BOMBA SÉRIO AMEAÇA HUMANIDADE
Eu trabalho.	EU TRABALHO
Com sua roupa colorida, sua longa peruca e suas luvas brancas, poder-se-ia deduzir que ele fugiu de uma espécie de Disneylândia.	ROUPA SEU LONGO PERUCA SEU COLORIR SÓ LUVAS SEU ELE ESPÉCIE DISNEYLÂNDIA FUGIR DEDUZIR PODER
Vamos, brinque comigo, estou tão entediado!	TÃO COMIGO ENTEDIAR BRINCAR
Oi? Ainda estás aí?	{OI AINDA AÍ}(q)
Eu li um livro durante a refeição.	EU LIVRO REFEIÇÃO LER
A mulher dele é francesa.	MULHER FRANCÊS DELE
Queres um suco de frutas?	{SUCO FRUTAS TU QUERER}(q)
Sempre quando eu acho algo que me agrade, este algo é caro demais.	SEMPRE QUANDO DEMAIS EU ESTE ALGO ACHAR ALGO EU CARO AGRADAR
Ele a fez sua esposa.	ELE SEU A MULHER ESPOSO FAZER
Não precisas pagar por isto, isto é gratuito.	ISTO É GRATUITO ELE PAGAR TU PRECISAR (NÃO)
A loja vende alimentos, tais como manteiga, queijo e açúcar.	QUEIJO LOJA TAIS MANTEIGA ALIMENTOS SÓ AÇÚCAR VENDER
Em geral se sabe pouco acerca de equações diferenciais não-lineares de segunda ordem.	DIFERENCIAIS NÃO-LINEARES DOIS MULHER EQUAÇÃO ORDEM GERAL SABER
A entrada inclui uma bebida.	ENTRADA BEBIDA INCLUIR
Eu comprei um novo automóvel.	NOVO EU AUTOMÓVEL COMPRAR
Não se casa com aquele com quem se pode viver - casa-se com a pessoa sem a qual não se pode viver.	A MULHER CASAR AQUELE CASAR PESSOA VIVER PODER VIVER PODER (NÃO)
Do que estás a falar?	{DO QUE FALAR}(q)
Eu estou curioso.	EU CURIOSO
Vamos! Fale comigo, Trang.	NÓS IR TRANG COMIGO FALIR
Tudo que alguém precisa saber sobre a vida eu aprendi com um boneco de neve.	TUDO ALGUÉM EU VIDA BONECO NEVE SABER PRECISAR APRENDER
Desde que Mario mentiu para mim, eu não falo mais com ele.	DESQUE EU MARIO EU MAIS MENTIR FALAR (NÃO)
Em qual pasta salvaste o arquivo?	PASTA ARQUIVO SALVAR QUAL (NÃO)
O Japão é cheio de belas cidades. Kyoto e Nara, por exemplo.	JAPÃO CHEIO BELAS CIDADES POR EXEMPLO KYOTO SÓ NARA
"É muito gentil de vossa parte", respondeu Willie.	GENTIL WILLIE VOSSO RESPONDER
Estás doente, tu precisas repousar.	TU PRECISAR REPOUSAR
Faça boa viagem.	BOM VIAGEM ELE FAZER
Eu consegui superar o hábito de sempre achar culpa nos outros.	SEMPRE EU HÁBITO CULPA OUTROS ACHAR SUPERAR CONSEGUIR
É verdade que ela é jovem, mas ela é sábia.	VERDADE ELE JOVEM SER MAS ELE SÁBIO
Eu estou tão cansado que mal posso andar.	TÃO EU CANSAR MAL PODER ANDAR
Ela parece conhecer a arte de escrever cartas.	ELE ARTE CARTAS CONHECER PARECER ESCREVER
Eles se falam bastante, por telefone e pessoalmente.	PESSOAL ELES TELEFONE BASTANTE SÓ FALAR
Eu nunca te vejo sem pensar no Ken.	EU TU PENSAR VER
Ele nos disse para começarmos de uma vez por todas.	UMA VEZ POR TODAS ELE COMEÇAR DIZER
Ele foi ferido na guerra.	ELE GUERRA FERIR
Há algumas boas maçãs na cesta.	BOM ALGUM MAÇÃS CESTA HAVER
O que você gostaria de comer?	{O VOCÊ COMER GOSTAR}(q)
Meu marido toma café da manhã enquanto lê o jornal.	MARIDO CAFÉ MANHÃ MEU TOMAR ENQUANTO JORNAL ELE LER
Ele dificilmente estuda química.	DIFICILMENTE ELE QUÍMICA ESTUDAR
Junko ainda depende de seus pais para bancá-la.	AINDA JUNKO PAIS SEU MULHER BANCÁ LA DEPENDER
Eu assisti TV ontem à noite.	ONTEM EU TV NOITE
Ele voltou para casa da Europa em 1941, quando a guerra eclodiu.	CASA ELE EUROPA 1941 VOLTAR QUANDO GUERRA ECLODIR
Ela secou seu cabelo molhado com uma toalha.	ELE CABELO TOALHA SEU SECAR MOLHAR
Eles o julgaram culpado.	ELES O CULPAR JULGAR
Ele é um pouco como seu pai.	ELE PAI SEU COMO
Desligue a TV, já que está tarde.	JÁ QUE ELE DESLIGAR TV TARDE
Se você vir um erro, corrija-o por favor.	SE VOCÊ ERRO VIR FAVOR CORRIGIR
O velho tentou nadar 5 quilômetros.	VELHO 5 QUILÔMETRO NADAR ELE TENTAR
Eu gostaria de viajar para países estrangeiros enquanto o iene estiver forte.	EU ESTRANGEIROS PAÍSES VIAJAR GOSTAR ENQUANTO IENE FORTE
Há apenas uma loja na ilha.	LOJA ILHA APENAS HAVER
Ela ficou inconsciente por todo o dia que se seguiu ao acidente.	INCONSCIENTE ELE TODO DIA ACIDENTE FICAR SEGUIR
Você pode se levantar da mesa de exames agora.	AGORA VOCÊ MESA EXAMES LEVANTAR PODER
Até onde eu sei, o tópico é digno de ser discutido.	ESPERA AÍ DIGNO TÓPICO SABER DISCUTIR
Nós todos fomos à festa, com a exceção de Joe.	TODO NÓS EXCEÇÃO FESTA JOE IR
Eu me sinto melhor hoje.	HOJE EU EU MELHOR SENTIR
Eu estou ansioso pelo resultado.	EU ANSIOSO RESULTADO
Ele nunca vai contra seus pais.	ELE PAIS SEU IR NUNCA NÃO
Eu gostaria de vir às nove.	EU 9 VIR GOSTAR
Nossa casa foi assaltada enquanto estávamos fora.	CASA NOSSO ASSALTAR ENQUANTO FORA
Como se usa essa câmera?	{COMO SE ESSE CÂMERA ELE USAR}(q)
Eu me pergunto o que aconteceu com ele.	EU EU O DELE PERGUNTAR ACONTECER
Você parece ter pensado em algo diferente.	VOCÊ DIFERENTE ALGO PENSAR PARECER
Eu lamento por lhe dar todo esse problema.	EU TODO ESSE LHE DAR PROBLEMA LAMENTAR
Ele tem um olhar desagradável.	DESAGRADÁVEL ELE OLHAR TER
Ela gosta de ouvir música clássica.	ELE CLÁSSICO MÚSICA OUVIR GOSTAR
Eu tomarei a providência que me parecer necessária.	EU EU PROVIDÊNCIA PARECER NECESSÁRIO TOMAR
Isso não está acabado mesmo.	ISSO ACABAR MESMO (NÃO)
A que horas você comeu?	{A VOCÊ HORAS COMER}(q)
Espero te ver em breve.	EM BREVE TU VER ESPERAR
Ele parece com sua mãe.	ELE MÃE SEU PARECER
O problema é que eles só pensam em si mesmos.	SÓ PROBLEMA ELES SI MESMOS PENSAR
Ele mantém esta arma carregada.	ELE ESTE ARMA MANTER CARREGAR
Depois de ir a bordo do trem, eu descobri que havia deixado minha carteira em casa.	DEPOIS EU TREM MEU DESCOBRIR CARTEIRA CASA DEIXAR IR
Você precisa responder à pergunta.	VOCÊ PERGUNTA RESPONDER PRECISAR
Eu tenho cada vez menos tempo para ler.	CADA VEZ EU TEMPO MENOS TER LER
Eu me lembro cada vez menos da minha infância.	CADA VEZ EU MEU MENOS EU INFÂNCIA LEMBRAR
5 é menor que 8.	5 8 MENOR
Beba menos e durma mais.	MENOS ELE BEBER SÓ MAIS ELE DORMIR
Leia a mensagem mais uma vez.	MAIS UMA VEZ MENSAGEM ELE LER
Você deveria comer mais frutas.	VOCÊ FRUTAS MAIS COMER DEVER
Eu tenho cada vez mais cabelos grisalhos.	GRISALHOS EU CABELOS TER
O mundo está mudando cada vez mais rápido.	CADA VEZ MAIS RÁPIDO MUNDO MUDAR
Quanto mais nós temos, mais nós queremos ter.	QUANTO MAIS MAIS NÓS NÓS QUERER TER TER
Ele se tornou cada vez mais famoso.	CADA VEZ MAIS FAMOSO ELE TORNAR
A vida fica cada vez mais cara.	CADA VEZ MAIS CARA VIDA ELE FICAR
Essa teoria consiste em três partes.	ESSE TEORIA PARTE 3 CONSISTIR
A teoria é abstrata demais para mim.	DEMAIS TEORIA EU
O experimento confirmou sua teoria.	EXPERIMENTO TEORIA SEU CONFIRMAR
Ele sempre diz a verdade.	SEMPRE ELE VERDADE DIZER
A verdade não pede muitas palavras.	VERDADE MUITAS PALAVRAS PEDIR (NÃO)
A verdade é a filha do tempo.	VERDADE MULHER FILHO TEMPO
Eu descobri a verdade.	EU VERDADE DESCOBRIR
Eu conheço a verdade.	EU VERDADE CONHECER
Ele é um misógino.	ELE MISÓGINO
Eu ouvi uma mulher gritar.	EU MULHER OUVIR GRITAR
Eu encontrei uma mulher velha.	VELHO EU MULHER ENCONTRAR
Esta mulher tem duas bolsas.	ESTE MULHER 2 BOLSA TER
Quem é esta mulher?	ESTE MULHER QUEM (NÃO)
Eu queria trabalhar neste verão.	EU ESTE VERÃO TRABALHAR QUERER
O verão acabou.	VERÃO ACABAR
A primavera vem depois do inverno.	DEPOIS PRIMAVERA INVERNO VIR
Não coma entre as refeições.	COMA MULHER REFEIÇÃO (NÃO)
Não confie nele.	NELE ELE CONFIAR (NÃO)
Tu podes confiar nele.	TU PODER NELE CONFIAR
Somente água, por favor.	SOMENTE ÁGUA FAVOR
Este copo contém água.	ÁGUA ESTE COPO CONTER
Essa água tem gosto bom.	BOM ESSE ÁGUA GOSTO TER
Areia seca absorve água.	AREIA SECO ÁGUA ABSORVER
Não há nada tão importante quanto a amizade.	TÃO IMPORTANTE NADA AMIZADE HAVER (NÃO)
A amizade é uma planta que precisa ser regada frequentemente.	FREQUENTE PLANTA AMIZADE REGAR PRECISAR
Eu me liguei a ele por meio de uma estreita amizade.	ESTREITO EU AMIZADE DELE LIGAR
Amizade legítima vale mais que dinheiro.	LEGÍTIMO AMIZADE DINHEIRO MAIS VALER
Nós aprofundamos nossa amizade.	NÓS AMIZADE NOSSO APROFUNDAR
Este livro é um livro novo.	ESTE LIVRO NOVO LIVRO
Onde está o livro?	LIVRO ESPERA AÍ (NÃO)
Quem escreveu este livro?	ESTE LIVRO ESCREVER QUEM (NÃO)
Qual livro é teu?	LIVRO TEU QUAL (NÃO)
Não há nada como o verão e um sorvete.	COMO NADA VERÃO SÓ SORVETE HAVER (NÃO)
